Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
David Martin-Robinson,TE,2024,0,0,0,0,5,0,0,0,0,0,0,0,0,1,6,0,1,,
Drake Maye,QB,2024,0,1,1,8,13,225,338,2276,15,10,54,421,2,0,0,0,,,
Tyreik McAllister,RB,2024,0,0,0,0,3,0,0,0,0,0,2,11,0,0,0,0,1,,
Jude McAtamney,K,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Luke McCaffrey,WR,2024,0,0,0,2,17,0,0,0,0,0,0,0,0,18,168,0,,,
Jase McClellan,RB,2024,0,0,0,0,2,0,0,0,0,0,13,32,0,0,0,0,,,
Jaylen McCollough,DB,2024,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,26,4,
Ladd McConkey,WR,2024,0,0,1,11,16,0,0,0,0,0,0,0,0,82,1149,7,,,
Mason McCormick,OL,2024,0,0,1,6,17,0,0,0,0,0,0,0,0,0,0,0,,,
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,
Player,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk
Sincere McCormick,RB,2024,0,0,0,1,5,0,0,0,0,0,39,183,0,6,29,0,,,
Dwight McGlothern,DB,2024,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,,,
Braiden McGregor,DE,2024,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,,
Tanner McKee,QB,2024,0,0,0,1,2,30,45,323,4,0,5,-1,0,0,0,0,,,
Kool-Aid McKinstry,DB,2024,0,0,0,3,15,0,0,0,0,0,0,0,0,0,0,0,32,,
Tanner McLachlan,TE,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
Dylan McMahon,OL,2024,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,,
Jalen McMillan,WR,2024,0,0,0,5,13,0,0,0,0,0,4,43,0,37,461,8,,,
Patrick McMorris,DB,2024,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,,
Bub Means,WR,2024,0,0,0,1,7,0,0,0,0,0,0,0,0,9,118,1,,,
Max Melton,DB,2024,0,0,0,2,17,0,0,0,0,0,0,0,0,0,0,0,36,,
Dante Miller,RB,2024,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,,,
Ventrell Miller,LB,2024,0,0,1,4,15,0,0,0,0,0,0,0,0,0,0,0,53,,
Joe Milton,QB,2024,0,0,0,1,1,22,29,241,1,0,10,16,1,0,0,0,,,
