Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12,Column_13,Column_14,Column_15,Column_16,Column_17,Column_18,Column_19,Column_20,Column_21,Column_22,Column_23,Column_24,Column_25
,Misc,,,,Passing,Rushing,Receiving,,,,,,,,,,,,,,,,,
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2016,2,Xavien Howard,38,CB,2023,1,4,7,56,100,0,0,0,0,0,,,0,,,0,29,2.0,Baylor
2016,3,Kenyan Drake,73,RB,2023,0,0,2,33,104,0,0,0,0,0,869,3866,33,218,1655,8,,,Alabama
2016,3,Leonte Carroo,86,WR,2018,0,0,0,2,37,0,0,0,0,0,1,14,0,12,192,2,,,Rutgers
2016,6,Jakeem Grant,186,WR,2021,0,1,0,14,81,0,0,0,0,0,17,76,1,100,1140,7,,,Texas Tech
2016,6,Jordan Lucas,204,S,2021,0,0,0,4,50,0,0,0,0,0,,,0,,,0,1,1.0,Penn St.
2016,7,Brandon Doughty,223,QB,,0,0,0,,,,,,,,,,,,,,,,Western Kentucky
2016,7,Thomas Duarte,231,TE,2016,0,0,0,0,1,0,0,0,0,0,,,0,,,0,,,UCLA
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2015,1,DeVante Parker,14,WR,2023,0,0,6,36,119,0,0,0,0,0,,,0,402,5660,27,,,Louisville
2015,2,Jordan Phillips,52,NT,2024,0,0,5,31,129,0,0,0,0,0,,,0,,,0,2,24.0,Oklahoma
2015,4,Jamil Douglas,114,G,2021,0,0,0,7,50,0,0,0,0,0,,,0,,,0,,,Arizona St.
2015,5,Bobby McCain,145,CB,2024,0,0,6,28,134,0,0,0,0,0,,,0,,,0,11,4.0,Memphis
2015,5,Jay Ajayi,149,RB,2019,0,1,2,19,45,0,0,0,0,0,572,2546,13,63,419,1,,,Boise St.
2015,5,Cedric Thompson,150,S,,0,0,0,,,,,,,,,,,,,,,,Minnesota
2015,5,Tony Lippett,156,WR,2018,0,0,1,6,28,0,0,0,0,0,,,0,,,0,4,,Michigan St.
Year,Rnd,Player,Pick,Pos,To,AP1,PB,St,wAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Int,Sk,College/Univ
2014,1,Ja'Wuan James,19,T,2022,0,0,4,27,66,0,0,0,0,0,,,0,,,0,,,Tennessee
2014,2,Jarvis Landry,63,WR,2022,0,5,8,56,132,6,9,146,1,0,40,239,5,713,7870,38,,,LSU
2014,3,Billy Turner,67,T,2023,0,0,5,35,105,0,0,0,0,0,,,0,,,0,,,North Dakota St.
2014,4,Walt Aikens,125,DB,2019,0,0,0,6,93,0,0,0,0,0,,,0,,,0,2,,Liberty
2014,5,Arthur Lynch,155,TE,,0,0,0,,,,,,,,,,,,,,,,Georgia
2014,5,Jordan Tripp,171,LB,2017,0,0,0,3,37,0,0,0,0,0,,,0,,,0,,,Montana
2014,6,Matt Hazel,190,WR,2017,0,0,0,0,9,0,0,0,0,0,,,0,1,1,0,,,Coastal Carolina
