Rank,Player,TD,Year,Tm
,Barry Sanders+ (28),11,1996,DET
,Barry Sanders+ (29),11,1997,DET
,Miles Sanders (25),11,2022,PHI
,Emmitt Smith+ (21),11,1990,DAL
,Emmitt Smith+ (30),11,1999,DAL
,Sherman Smith (24),11,1979,SEA
,Kordell Stewart (24),11,1997,PIT
,Tom Sullivan (24),11,1974,PHI
,Jim Taylor+ (24),11,1960,GNB
,Jonathan Taylor (21),11,2020,IND
,Jonathan Taylor (25),11,2024,IND
,Duane Thomas (24),11,1971,DAL
,Thurman Thomas+ (24),11,1990,BUF
,Mike Tolbert (24),11,2010,SDG
,LaDainian Tomlinson+ (29),11,2008,SDG
,Dan Towler (26),11,1954,RAM
,Michael Turner (29),11,2011,ATL
,Steve Van Buren+ (28),11,1949,PHI
,Ricky Watters (26),11,1995,PHI
,Charles White (29),11,1987,RAM
,DeAngelo Williams (32),11,2015,PIT
,Moe Williams (28),11,2002,MIN
,Ricky Williams (32),11,2009,MIA
